zip,latitude,longitude,source
00501,40.8154,-73.0451,geonames
00544,40.8154,-73.0451,geonames
00601,18.180555,-66.749961,census
00602,18.361945,-67.175597,census
00603,18.457399,-67.124867,census
00606,18.158327,-66.932928,census
00610,18.295304,-67.12518,census
00611,18.276316,-66.807165,census
00612,18.416727,-66.70009,census
00616,18.420412,-66.671979,census
00617,18.446889,-66.561154,census
00622,17.988103,-67.160357,census
00623,18.084371,-67.158765,census
00624,18.051808,-66.721711,census
00627,18.412507,-66.863811,census
00631,18.184294,-66.830795,census
00636,18.1636,-67.080097,census
00637,18.080103,-66.947975,census
00638,18.280188,-66.513111,census
00641,18.268074,-66.701785,census
00646,18.432897,-66.286499,census
00647,17.963613,-66.947127,census
00650,18.349209,-66.578112,census
00652,18.44844,-66.59411,census
00653,17.988642,-66.90169,census
00656,18.040426,-66.789672,census
00659,18.407226,-66.808999,census
00660,18.134695,-67.116199,census
00662,18.468301,-67.015749,census
00664,18.21033,-66.591616,census
00667,18.003422,-67.03581,census
00669,18.276925,-66.869587,census
00670,18.233585,-66.987585,census
00674,18.424145,-66.487895,census
00676,18.381597,-67.080884,census
00677,18.332568,-67.227022,census
00678,18.430503,-66.930479,census
00680,18.183493,-67.133054,census
00682,18.224864,-67.153891,census
00683,18.1078,-67.037263,census
00685,18.336887,-66.972929,census
00687,18.318017,-66.420392,census
00688,18.382311,-66.626416,census
00690,18.493543,-67.096915,census
00692,18.410652,-66.336202,census
00693,18.425961,-66.398098,census
00694,18.483127,-66.39236,census
00698,18.072916,-66.85119,census
00703,18.248401,-66.130662,census
00704,17.973168,-66.229011,census
00705,18.12896,-66.266691,census
00707,18.014055,-65.920751,census
00714,17.995867,-66.055529,census
00715,17.990485,-66.566143,census
00716,17.985014,-66.606721,census
00717,18.002639,-66.611087,census
00718,18.23201,-65.756036,census
00719,18.28992,-66.25344,census
00720,18.216608,-66.423682,census
00723,18.019337,-66.001862,census
00725,18.220689,-66.03958,census
00727,18.211921,-66.073355,census
00728,17.991071,-66.662968,census
00729,18.334918,-65.887078,census
00730,18.030882,-66.611928,census
00731,18.109947,-66.635622,census
00735,18.252179,-65.665631,census
00736,18.103624,-66.151667,census
00738,18.304458,-65.698711,census
00739,18.175543,-66.162102,census
00740,18.333961,-65.631674,census
00741,18.163855,-65.754042,census
00745,18.352176,-65.810929,census
00751,18.003779,-66.262905,census
00754,18.144582,-65.972253,census
00757,17.991428,-66.402337,census
00765,18.124207,-65.42307,census
00766,18.130718,-66.472244,census
00767,18.069489,-65.896029,census
00769,18.096641,-66.358335,census
00771,18.187148,-65.871189,census
00772,18.438944,-65.90522,census
00773,18.342888,-65.723109,census
00775,18.326611,-65.307771,census
00777,18.224327,-65.909085,census
00778,18.264076,-65.97851,census
00780,18.094076,-66.565781,census
00782,18.224878,-66.224482,census
00783,18.300221,-66.328927,census
00784,18.010714,-66.133615,census
00786,18.135725,-66.228698,census
00791,18.142603,-65.812812,census
00794,18.200018,-66.309282,census
00795,18.04645,-66.495142,census
